A.B.C.
Abbott
Abbott-Detroit
Able
Ace
Acme
Adams-Farwell
Adelphia
Adria
AEC
Aero
Ajax
Aland
Alco
Allen
Allen-Kingston
Alpena
Alsace
Alter
Ambassador
Amco
American
American (Underslung)
American Bantam
American Motors Corporation
American Simplex
Ames
Amplex
AMS-Sterling
Anchor
Anderson
Anhut
Anna
Apperson
Arbenz
Argo
Argo Electric
Argonne
Atlas
Atterbury
Auburn
Austin
Autocar
Automatic Electric
Babcock
Badger
Bailey
Bailey Olympic
Baker
Bantam
Barley
Bauer
Bay State
Beardsley (Electric)
Beggs
Belden
Bell
Belmont
Ben-Hur
Bergdoll
Berkshire
Biddle
Billy
Bimel
Birch
Birmingham
Black Crow
Black Hawk
Bobbi-Car
Borland
Bour-Davis
Bowman
Bradley
Brewster
Briggs & Stratton
Briscoe
Broc
Brook
Brownie
Brush
Buggyaut
Buick
Burdick
Burg
Cadillac
Cameron
Campbell
Carhartt
Carroll
Cartercar
Case
Chadwick
Chalmers
Chalmers-Detroit
Champion
Chandler
Charter Oak
Chase
Checker
Chevrolet
Chrysler
Cino
Clark
Cleveland
Cleveland Electric
Climber
Coates-Goshen
Coey
Colburn
Colby
Cole
Columbia
Columbus Electric
Comet
Commonwealth
Continental
Corbin
Corbitt
Cord
Correja
Courier
Crane
Crawford
Crawford Dagmar
Crosley
Crow Elkhart
Croxton
Croxton-Keeton
Cunningham
Cutting
Cycleplane
Dagmar
Dalton
Daniels
Davis
Day
De Tamble
Demot
Derain
Desoto
Desoto (1913)
Detroit
Detroit Electric
Detroit-Dearborn
Detroiter
Devaux
Diamond
Diana
Dile
Disbrow
Dispatch
Dixie Flyer
Doble
Dodge
Dorris
Dort
Drexel
Driggs
Drummond
Duesenberg
Dupont
Duquesne
Durant
Duryea
E-M-F
Eagle
Earl
Eastern
Economy
Edsel
Edwards
Elcar
Elgin
Elkhart
Elmore
Emerson
Empire
Enger
Erskine
Eureka
Everitt
Ewing
F.R.P.
Fageol
Falcar
Falcon
Falcon Knight
Farmack
Fergus
Ferris
Fiat
Firestone-Columbus
Flanders
Flint
Flyer
Ford
Four Wheel Drive
Fox
Franklin
Frazer
Friend
Frontenac
Fuller
G.J.G.
Gaeth
Gardner
Garford
Gaylord
Geneva
Geronimo
Ghent
Gleason
Glide
Globe
Goodspeed
Graham
Graham-Paige
Grant
Gray
Great Eagle
Great Smith
Great Southern
Great Western
Grout
H.C.S.
Hackett
Hal
Halladay
Handly
Handly Knight
Hanson
Harroun
Harvard
Hatfield
Havers
Haynes
Henderson
Henry
Henry J
Herff-Brooks
Herreshoff
Hertz
Hollier
Holly
Holmes
Holsman
Homer-Laughlin
Houpt
Howard
Hudson
Huffman
Hupmobile
Ideal
Illinois
Imperial
Imperial (Chrysler)
Inter-state
Jackson
Jeffery
Jenkins
Jewett
Johnson
Jones
Jonz
Jordan
Kaiser
Kauffman
Kearns
Keeton
Kelsey
Kenmore
Kent
Kenworthy
Keystone
King
Kissel
Kissel Kar
Kline Kar
Knox
Koehler
Krit
Kurtz
Lafayette
Lambert
Lasalle
Laurel
Leach
Leader
Lenox
Lewis
Lexington
Liberty
Lincoln
Lion
Little
Locomobile
Lorraine
Lozier
Luck
Luverne
Luxor
Lyons-Knight
Madison
Maibohm
Majestic
Marathon
Marion
Marion-Handly
Marmon
Marquette
Marquette (Buick)
Marshall
Maryland
Mason
Matheson
Maxwell
McCue-Hartford
McFarlan
McIntyre
Mecca
Mercer
Mercury
Merit
Meteor
Metropol
Metz
Michigan
Middleby
Midland
Milburn
Miller
Mitchell
Moline
Moline-Knight
Monarch
Mondex Magic
Monitor
Monroe
Moon
Moore
Mora
Morse
Motorette
Moyer
Murray
Murray-Mac
Nance
Napoleon
Nash
National
Nelson
New Parry
Noma
Norwalk
Nyberg
Oakland
Octoauto
Ogren
Ohio Electric
Oldsmobile
Olympian
Omaha
Otto
Overland
Overland-Whippet
Owen-Magnetic
Pacific
Packard
Paige
Paige-Detroit
Palmer-Singer
Pan
Pan American
Parenti
Parry
Partin-Palmer
Paterson
Pathfinder
Peerless
Penn
Pennsy
Pennsylvania
Perfex
Peter Pan
Petrel
Phianna
Pickard
Piedmont
Pierce Arrow
Pierce-Racine
Pilot
Pittsburg
Playboy
Plymouth
Pontiac
Pope-Hartford
Porter
Powercar
Pratt
Premier
Premier-Strattan
Premocar
Princess
Princeton
Pullman
R & V Knight
R.C.H.
Rainier
Raleigh
Rambler
Rambler (AMC)
Ranger
Rauch & Lang
Rayfield
Read
Reading
Reeves
Regal
Remington
Reo
Republic
Revere
Richmond
Rickenbacker
Ricketts
Rider-Lewis
Ritter
Roader
Roamer
Rock Falls
Rockne
Rockwell
Rogers
Rollin
Rolls Royce
Romer
Ross
Royal Tourist
Rubay
S & M
S.G.V.
Salter
Saxon
Sayers
Schacht
Schlosser
Scripps-Booth
Sears
Sebring
Selden
Sellers
Seneca
Shad-Wyck
Sharp Arrow
Shelby
Simplex
Singer
Skelton
Spacke
Spaulding
Speedwell
Sphinx
Spoerer
Springfield
Stafford
Standard
Stanley
Stanwood
Star
States
Staver-Chicago
Stavers
Stearns
Stearns-Knight
Stephens
Sterling
Sterling-Knight
Stevens-Duryea
Stewart
Stoddard-Dayton
Studebaker
Studebaker-Garford
Stutz
Stuyvesant
Suburban
Sultan
Sun
Templar
Terraplane
Texan
The Only Car
Thomas
Touraine
Traveler (Taxi)
Traveller
Tribune
Triumph
Trumbull
Tulsa
Twombly
Union
Vaughan
Velie
Viking
Virginian
Vixen
Vogue
Vulcan
Warren
Warren-Detroit
Washington
Wasp
Watt
Waverley
Wayne
Welch
Westcott
WFSB
Whippet
White
Wilcox
Wills Sainte Claire
Willys
Willys-Knight
Willys-Overland
Windsor
Winther
Winton
Wisco
Wolverine
Woods
Woods Electric
Worth
Yale
Yellow
Yellow Cab
Zimmerman
